cone_number,cone_length_mm,cone_width_mm,stalk_length_mm,scale_length_mm,scale_width_mm,scale_number,cone_angle,colour (hue),value,chroma,profile,cone_ratio,openness,seed_number,filled_number,seed_viability
73.00,37.15,17.17,6.90,6.80,5.66,54.00,7.00,2.00,6.00,6.00,3.00,0.46,3.00,9.00,7.00,0.78
73.00,35.09,17.61,8.50,6.77,5.47,62.00,8.00,2.00,5.00,4.00,3.00,0.50,3.00,27.00,15.00,0.56
73.00,50.05,23.40,6.92,7.88,7.55,75.00,7.00,2.00,6.00,6.00,4.00,0.47,4.00,29.00,14.00,0.48
73.00,45.37,22.51,10.54,7.27,6.67,74.00,5.00,2.00,6.00,6.00,3.00,0.50,3.00,38.00,21.00,0.55
1.00,40.22,21.74,9.99,8.76,7.44,75.00,6.00,1.00,6.00,6.00,1.00,0.54,4.00,23.00,22.00,0.96
1.00,36.88,20.56,9.58,7.32,7.17,65.00,9.00,1.00,6.00,6.00,1.00,0.56,4.00,28.00,25.00,0.89
8.00,46.88,21.78,9.20,7.31,7.38,65.00,7.00,1.00,7.00,4.00,2.00,0.46,1.00,0.00,0.00,0.00
8.00,39.33,18.99,9.20,6.19,5.34,70.00,9.00,1.00,6.00,2.00,2.00,0.48,2.00,17.00,12.00,0.71
8.00,43.13,22.29,11.32,6.99,6.59,71.00,11.00,1.00,8.00,4.00,2.00,0.52,2.00,18.00,12.00,0.67
8.00,46.10,23.00,9.31,7.62,7.12,70.00,10.00,1.00,7.00,4.00,2.00,0.50,2.00,23.00,17.00,0.74
8.00,46.55,22.62,8.71,7.46,6.85,66.00,9.00,1.00,7.00,4.00,2.00,0.49,2.00,30.00,23.00,0.77
40.00,44.20,22.94,9.78,7.55,6.56,74.00,13.00,1.00,7.00,4.00,2.00,0.52,4.00,23.00,21.00,0.91
40.00,49.72,21.05,8.17,8.38,6.84,78.00,8.00,1.00,7.00,4.00,2.00,0.42,4.00,26.00,24.00,0.92
40.00,44.47,20.86,9.48,6.48,7.02,73.00,6.00,1.00,7.00,4.00,2.00,0.47,4.00,27.00,27.00,1.00
40.00,48.37,22.31,9.48,8.71,7.39,75.00,7.00,1.00,7.00,4.00,2.00,0.46,4.00,30.00,25.00,0.83
40.00,58.38,24.39,10.70,9.60,8.74,76.00,8.00,1.00,7.00,4.00,2.00,0.42,4.00,41.00,38.00,0.93
41.00,35.34,21.80,9.14,7.46,6.83,71.00,4.00,1.00,6.00,4.00,2.00,0.62,4.00,28.00,23.00,0.82
41.00,51.98,21.88,9.43,7.99,7.60,75.00,7.00,1.00,5.00,2.00,2.00,0.42,4.00,34.00,30.00,0.88
41.00,52.21,22.43,8.53,7.56,6.57,79.00,14.00,1.00,6.00,4.00,2.00,0.43,4.00,36.00,25.00,0.69
41.00,58.08,24.21,9.60,8.23,7.44,83.00,9.00,2.00,4.00,2.00,3.00,0.42,4.00,39.00,29.00,0.74
41.00,60.07,25.96,8.67,8.83,7.94,78.00,9.00,2.00,5.00,4.00,3.00,0.43,4.00,41.00,33.00,0.80
115.00,46.58,22.01,12.27,6.64,6.00,74.00,9.00,1.00,7.00,4.00,2.00,0.47,4.00,35.00,32.00,0.91
115.00,46.02,22.04,8.36,7.42,6.60,72.00,8.00,1.00,8.00,6.00,2.00,0.48,4.00,35.00,33.00,0.94
115.00,49.50,22.34,9.20,7.16,6.48,76.00,8.00,1.00,8.00,6.00,2.00,0.45,4.00,36.00,36.00,1.00
115.00,46.07,21.95,9.54,6.51,6.72,77.00,9.00,1.00,8.00,6.00,2.00,0.48,4.00,36.00,31.00,0.86
115.00,51.47,24.24,9.59,7.05,6.55,78.00,10.00,1.00,8.00,6.00,3.00,0.47,4.00,38.00,28.00,0.74
26.00,51.62,21.68,7.21,8.57,7.47,64.00,7.00,1.00,5.00,2.00,1.00,0.42,1.00,0.00,0.00,0.00
26.00,60.82,23.23,7.67,10.13,8.20,67.00,7.00,1.00,8.00,4.00,2.00,0.38,1.00,0.00,0.00,0.00
26.00,53.85,22.31,8.06,8.43,6.85,70.00,12.00,1.00,5.00,2.00,1.00,0.41,2.00,35.00,27.00,0.77
26.00,50.19,21.63,8.02,8.26,7.69,61.00,8.00,1.00,8.00,4.00,1.00,0.43,3.00,36.00,32.00,0.89
26.00,56.37,22.02,9.30,9.21,7.63,73.00,8.00,1.00,8.00,4.00,2.00,0.39,2.00,38.00,34.00,0.89
2.00,52.92,25.70,8.79,9.89,8.64,75.00,9.00,1.00,6.00,4.00,1.00,0.49,1.00,0.00,0.00,0.00
2.00,56.48,27.55,11.57,8.63,8.51,83.00,8.00,1.00,7.00,4.00,1.00,0.49,1.00,0.00,0.00,0.00
2.00,41.26,20.75,9.03,6.87,7.01,63.00,8.00,1.00,7.00,4.00,1.00,0.50,2.00,16.00,11.00,0.69
2.00,38.63,18.98,8.03,7.60,6.37,62.00,9.00,1.00,6.00,4.00,1.00,0.49,2.00,19.00,18.00,0.95
2.00,45.50,21.68,10.07,8.82,7.56,67.00,8.00,1.00,6.00,4.00,1.00,0.48,2.00,27.00,25.00,0.93
83.00,54.78,27.73,16.17,8.11,7.90,85.00,11.00,1.00,8.00,4.00,4.00,0.51,4.00,48.00,36.00,0.75
83.00,56.94,25.72,9.82,8.58,7.57,88.00,10.00,1.00,8.00,4.00,4.00,0.45,3.00,49.00,33.00,0.67
83.00,67.62,30.95,7.46,8.92,9.49,90.00,15.00,1.00,6.00,4.00,4.00,0.46,4.00,51.00,45.00,0.88
83.00,60.37,28.35,12.63,7.24,8.05,83.00,12.00,1.00,8.00,4.00,4.00,0.47,4.00,65.00,58.00,0.89
83.00,67.93,31.56,11.21,8.56,8.70,92.00,14.00,1.00,8.00,4.00,4.00,0.46,4.00,66.00,50.00,0.76
17.00,43.54,23.70,7.82,7.94,8.33,62.00,7.00,1.00,6.00,4.00,4.00,0.54,2.00,14.00,12.00,0.86
17.00,39.84,21.86,6.73,7.47,7.83,60.00,8.00,1.00,6.00,4.00,3.00,0.55,2.00,16.00,12.00,0.75
17.00,41.16,23.81,7.90,7.49,7.35,64.00,8.00,1.00,6.00,4.00,3.00,0.58,3.00,25.00,19.00,0.76
17.00,40.61,24.81,7.04,8.04,7.24,69.00,7.00,1.00,6.00,4.00,4.00,0.61,2.00,32.00,31.00,0.97
17.00,43.49,24.30,7.69,7.40,8.82,73.00,7.00,1.00,6.00,4.00,3.00,0.56,3.00,40.00,33.00,0.83
24.00,48.02,21.76,9.59,7.95,7.45,74.00,12.00,1.00,7.00,4.00,2.00,0.45,2.00,20.00,19.00,0.95
24.00,52.61,23.68,8.80,7.86,7.64,70.00,9.00,1.00,6.00,4.00,2.00,0.45,4.00,23.00,18.00,0.78
24.00,48.65,23.55,8.17,7.36,7.45,67.00,10.00,1.00,6.00,4.00,2.00,0.48,4.00,24.00,22.00,0.92
24.00,51.97,25.24,9.01,7.13,7.10,68.00,11.00,1.00,8.00,6.00,2.00,0.49,4.00,26.00,21.00,0.81
24.00,50.22,24.29,8.28,8.33,7.84,68.00,6.00,1.00,7.00,6.00,2.00,0.48,4.00,27.00,26.00,0.96
27.00,42.90,24.28,7.92,8.85,8.25,71.00,7.00,1.00,8.00,4.00,1.00,0.57,4.00,32.00,19.00,0.59
27.00,45.09,23.41,7.53,8.66,8.32,71.00,7.00,1.00,8.00,6.00,1.00,0.52,4.00,34.00,29.00,0.85
27.00,45.65,25.07,8.54,8.98,8.93,77.00,8.00,1.00,8.00,6.00,1.00,0.55,3.00,36.00,21.00,0.58
27.00,46.28,24.15,7.51,8.11,8.34,78.00,10.00,1.00,8.00,4.00,1.00,0.52,3.00,37.00,30.00,0.81
27.00,45.05,24.09,8.84,7.97,8.04,75.00,12.00,1.00,8.00,4.00,1.00,0.53,4.00,40.00,24.00,0.60
89.00,44.25,23.03,8.38,6.46,7.01,72.00,9.00,1.00,7.00,4.00,4.00,0.52,2.00,21.00,17.00,0.81
89.00,47.11,24.92,11.51,8.57,7.77,66.00,8.00,1.00,5.00,4.00,4.00,0.53,4.00,28.00,21.00,0.75
89.00,44.12,23.89,11.02,8.58,7.60,70.00,7.00,1.00,6.00,4.00,4.00,0.54,4.00,31.00,31.00,1.00
89.00,55.94,26.92,9.67,9.37,8.68,76.00,10.00,1.00,6.00,4.00,4.00,0.48,4.00,41.00,38.00,0.93
89.00,61.09,30.34,10.81,9.57,10.02,80.00,10.00,1.00,6.00,4.00,4.00,0.50,3.00,46.00,44.00,0.96
11.00,40.38,18.07,8.67,6.91,6.10,65.00,5.00,1.00,6.00,4.00,1.00,0.45,2.00,13.00,12.00,0.92
11.00,51.95,21.91,9.04,7.79,7.20,92.00,7.00,1.00,7.00,4.00,1.00,0.42,4.00,21.00,20.00,0.95
11.00,41.13,18.23,7.84,6.50,5.55,63.00,7.00,1.00,8.00,4.00,1.00,0.44,4.00,23.00,16.00,0.70
11.00,44.48,20.84,9.04,8.78,7.67,68.00,5.00,1.00,7.00,6.00,1.00,0.47,3.00,26.00,23.00,0.88
11.00,50.64,22.93,8.84,7.78,7.20,78.00,6.00,2.00,7.00,6.00,1.00,0.45,4.00,28.00,20.00,0.71
58.00,54.56,25.18,10.62,9.09,8.16,92.00,9.00,1.00,6.00,4.00,2.00,0.46,2.00,23.00,21.00,0.91
58.00,53.07,24.88,9.71,8.35,8.93,77.00,10.00,1.00,6.00,4.00,2.00,0.47,3.00,27.00,21.00,0.78
58.00,56.75,27.16,11.57,9.23,8.63,85.00,6.00,1.00,6.00,4.00,2.00,0.48,4.00,32.00,29.00,0.91
58.00,58.55,28.34,12.80,8.54,7.97,98.00,7.00,1.00,6.00,2.00,2.00,0.48,2.00,34.00,29.00,0.85
58.00,55.09,25.77,10.85,10.08,9.83,78.00,7.00,1.00,6.00,4.00,2.00,0.47,3.00,39.00,33.00,0.85
109.00,47.28,26.02,11.66,7.26,7.60,97.00,14.00,1.00,6.00,4.00,1.00,0.55,2.00,3.00,1.00,0.33
109.00,42.38,24.00,10.21,8.28,7.70,82.00,12.00,1.00,6.00,4.00,1.00,0.57,2.00,4.00,1.00,0.25
109.00,44.48,24.41,7.72,7.39,7.42,77.00,10.00,1.00,6.00,4.00,1.00,0.55,2.00,8.00,5.00,0.63
109.00,48.07,25.50,10.38,8.10,8.35,90.00,16.00,1.00,6.00,4.00,1.00,0.53,2.00,15.00,13.00,0.87
109.00,43.31,23.95,11.00,7.79,8.11,65.00,10.00,1.00,6.00,4.00,1.00,0.55,3.00,22.00,16.00,0.73
2.00,30.10,16.20,6.83,5.26,5.12,58.00,7.00,1.00,6.00,4.00,1.00,0.54,4.00,21.00,19.00,0.90
2.00,25.30,15.07,7.40,4.61,4.90,66.00,6.00,1.00,6.00,4.00,1.00,0.60,4.00,22.00,19.00,0.86
2.00,44.12,20.67,7.66,7.02,6.17,65.00,6.00,1.00,7.00,4.00,2.00,0.47,4.00,25.00,23.00,0.92
2.00,42.37,20.07,9.24,5.92,5.65,64.00,6.00,1.00,7.00,4.00,2.00,0.47,4.00,25.00,24.00,0.96
52.00,58.30,21.86,10.16,8.50,8.30,73.00,7.00,1.00,7.00,2.00,1.00,0.37,1.00,0.00,0.00,0.00
52.00,63.38,23.69,7.33,8.90,10.11,66.00,7.00,1.00,7.00,4.00,1.00,0.37,2.00,27.00,27.00,1.00
52.00,59.35,22.74,8.42,7.92,9.56,65.00,10.00,1.00,7.00,6.00,1.00,0.38,3.00,27.00,26.00,0.96
52.00,67.43,24.66,7.89,8.66,9.88,76.00,6.00,1.00,7.00,2.00,1.00,0.37,3.00,38.00,31.00,0.82
52.00,59.81,23.83,10.52,8.45,8.81,79.00,13.00,1.00,7.00,4.00,1.00,0.40,3.00,39.00,36.00,0.92
